dataset_id,method,model,auc,recovery_rate,detection_precision,detection_recall,detection_f1
digits,agent_no_reviewer,xgb,0.9925306336615327,1.0034692107545533,1.0,0.2222222222222222,0.3636363636363636
digits,agent_no_planner,xgb,0.9925306336615327,1.0034692107545533,1.0,0.2222222222222222,0.3636363636363636
digits,agent_zero_shot,xgb,0.9925306336615327,1.0034692107545533,1.0,0.25925925925925924,0.4117647058823529
digits,agent_few_shot,xgb,0.9925306336615327,1.0034692107545533,1.0,0.25925925925925924,0.4117647058823529
wine,clean_upper,xgb,0.9965277777777778,,,,
wine,no_clean,xgb,0.8888888888888888,,,,
wine,rule_based,xgb,0.9479166666666666,0.5483870967741934,0.8,0.14814814814814814,0.25
wine,agent_full,xgb,0.9861111111111112,0.9032258064516133,1.0,0.2222222222222222,0.3636363636363636
wine,agent_no_reviewer,xgb,0.9861111111111112,0.9032258064516133,1.0,0.2222222222222222,0.3636363636363636
wine,agent_no_planner,xgb,0.9861111111111112,0.9032258064516133,1.0,0.2222222222222222,0.3636363636363636
wine,agent_zero_shot,xgb,0.9861111111111112,0.9032258064516133,1.0,0.25925925925925924,0.4117647058823529
wine,agent_few_shot,xgb,0.9861111111111112,0.9032258064516133,0.3333333333333333,0.25925925925925924,0.2916666666666667
pima_diabetes,clean_upper,xgb,0.8201851851851851,,,,
pima_diabetes,no_clean,xgb,0.604537037037037,,,,
pima_diabetes,rule_based,xgb,0.7290740740740741,0.5775010734220699,0.8,0.14814814814814814,0.25
pima_diabetes,agent_full,xgb,0.8,0.9063975955345647,1.0,0.25925925925925924,0.4117647058823529
pima_diabetes,agent_no_reviewer,xgb,0.763888888888889,0.7389437526835557,1.0,0.18518518518518517,0.3125
pima_diabetes,agent_no_planner,xgb,0.8,0.9063975955345647,1.0,0.2222222222222222,0.3636363636363636
pima_diabetes,agent_zero_shot,xgb,0.8,0.9063975955345647,1.0,0.25925925925925924,0.4117647058823529
pima_diabetes,agent_few_shot,xgb,0.8,0.9063975955345647,1.0,0.25925925925925924,0.4117647058823529
